Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,12.15,26.38,18.92,16.10,33.03,2.30,6.99,0.10,18.37,0.49,1.51,NA,NA,0.39,0.29,NA,93.33,0.94,233.32,NA,NA,61.02,922.45,0.06
2022-01-01 01:00:00,10.57,24.06,18.93,16.09,33.02,2.30,7.02,0.10,18.69,0.50,1.50,NA,NA,0.40,0.31,NA,93.33,0.95,234.09,NA,NA,63.24,922.60,0.06
2022-01-01 02:00:00,10.34,23.72,18.93,16.10,33.03,2.30,6.89,0.10,18.70,0.51,1.50,NA,NA,0.40,0.30,NA,93.33,0.92,233.46,NA,NA,61.34,922.12,0.05
2022-01-01 03:00:00,13.29,28.06,18.94,16.10,33.03,2.30,6.94,0.10,18.64,0.51,1.48,NA,NA,0.39,0.28,NA,93.33,0.92,235.00,NA,NA,63.78,921.50,0.06
2022-01-01 04:00:00,13.90,28.95,18.94,16.10,33.04,2.30,6.87,0.10,18.58,0.49,1.50,NA,NA,0.40,0.30,NA,93.33,0.94,232.38,NA,NA,55.60,920.78,0.07
2022-01-01 05:00:00,12.23,26.50,18.93,16.08,33.01,2.31,6.99,0.10,17.88,0.50,1.50,NA,NA,0.39,0.30,NA,93.33,0.93,232.13,NA,NA,58.81,920.28,0.08
2022-01-01 06:00:00,12.22,26.49,18.91,16.08,32.99,2.30,6.96,0.10,17.36,0.50,1.50,NA,NA,0.39,0.31,NA,93.33,0.94,231.85,NA,NA,55.60,917.35,0.08
2022-01-01 07:00:00,14.96,30.52,18.89,16.08,32.97,2.30,7.13,0.10,17.90,0.51,1.47,NA,NA,0.40,0.31,NA,93.33,0.93,228.13,NA,NA,56.83,918.20,0.08
2022-01-01 08:00:00,16.88,33.35,18.89,16.06,32.96,2.30,7.13,0.10,18.11,0.50,1.52,NA,NA,0.40,0.29,NA,93.33,0.95,219.96,NA,NA,53.07,920.77,0.07
2022-01-01 09:00:00,15.13,30.78,18.88,16.08,32.96,2.30,7.01,0.10,18.38,0.51,1.50,NA,NA,0.40,0.30,NA,86.43,0.95,226.14,NA,NA,82.01,921.95,0.06
