Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,70.50,151.75,3.52,20.88,13.98,12.25,4.50,0.94,39.84,1.05,6.35,NA,NA,NA,NA,19.30,72.00,NA,90.75,NA,NA,NA,718.75,NA
2019-01-01 01:00:00,79.00,154.50,3.10,16.62,11.38,13.85,4.82,0.88,49.30,0.95,5.48,NA,NA,NA,NA,18.70,77.25,NA,85.00,NA,NA,NA,718.00,NA
2019-01-01 02:00:00,81.75,152.75,2.45,16.98,11.08,12.65,4.40,0.70,55.46,0.80,4.78,NA,NA,NA,NA,18.40,80.50,NA,92.75,NA,NA,NA,718.00,NA
2019-01-01 03:00:00,79.00,138.00,1.60,12.42,7.88,12.65,4.15,0.60,68.80,0.68,4.12,NA,NA,NA,NA,17.80,83.50,NA,103.75,NA,NA,NA,718.00,NA
2019-01-01 04:00:00,74.25,123.00,1.18,9.48,6.00,11.80,3.85,0.62,70.76,0.57,3.50,NA,NA,NA,NA,17.58,84.75,NA,99.75,NA,NA,NA,718.00,NA
2019-01-01 05:00:00,79.25,126.75,2.00,12.30,8.20,12.25,3.20,0.77,61.20,0.50,3.05,NA,NA,NA,NA,17.23,84.00,NA,99.25,NA,NA,NA,718.75,NA
2019-01-01 06:00:00,89.00,144.75,3.28,20.00,13.28,11.32,3.25,1.14,49.98,0.48,2.85,NA,NA,NA,NA,16.88,84.00,NA,95.00,NA,NA,NA,719.75,NA
2019-01-01 07:00:00,109.00,182.25,8.52,27.02,21.32,11.12,3.08,1.52,30.48,0.52,2.97,NA,NA,NA,NA,17.10,83.00,NA,82.75,NA,NA,NA,720.50,NA
2019-01-01 08:00:00,111.25,218.50,5.43,21.75,15.98,12.18,4.42,1.37,45.77,0.65,3.00,NA,NA,NA,NA,18.70,73.00,NA,104.25,NA,NA,NA,721.00,NA
2019-01-01 09:00:00,97.75,170.50,5.22,22.45,16.20,12.22,4.78,1.50,60.27,0.60,3.12,NA,NA,NA,NA,20.10,63.50,NA,98.00,NA,NA,NA,721.00,NA
2019-01-01 10:00:00,84.25,159.25,8.22,28.95,22.10,11.35,4.95,1.53,57.77,0.68,3.35,NA,NA,NA,NA,21.95,42.25,NA,100.25,NA,NA,NA,721.00,NA
2019-01-01 11:00:00,62.50,135.50,6.68,30.50,21.65,10.18,4.88,1.44,69.04,0.68,3.55,NA,NA,NA,NA,23.08,36.75,NA,99.00,NA,NA,NA,720.00,NA
2019-01-01 12:00:00,57.00,128.50,10.20,30.02,24.28,9.80,4.18,1.20,54.10,0.68,3.82,NA,NA,NA,NA,24.15,29.75,NA,109.75,NA,NA,NA,718.50,NA
2019-01-01 13:00:00,42.75,112.25,13.25,37.90,30.90,10.12,3.72,1.86,44.34,0.62,3.98,NA,NA,NA,NA,25.22,27.25,NA,120.00,NA,NA,NA,717.25,NA
2019-01-01 14:00:00,38.25,99.50,10.75,34.33,27.00,9.43,4.55,1.43,56.40,0.78,4.50,NA,NA,NA,NA,26.58,24.25,NA,133.50,NA,NA,NA,716.00,NA
2019-01-01 15:00:00,43.25,113.75,13.30,39.17,31.62,8.07,4.92,1.45,55.12,0.70,4.30,NA,NA,NA,NA,26.60,23.75,NA,97.75,NA,NA,NA,716.00,NA
2019-01-01 16:00:00,38.00,119.25,13.18,43.68,33.95,7.65,5.15,1.52,46.20,0.80,4.97,NA,NA,NA,NA,26.35,23.75,NA,107.00,NA,NA,NA,716.00,NA
2019-01-01 17:00:00,38.75,129.25,10.55,41.20,30.48,9.28,5.00,1.54,32.04,0.78,4.90,NA,NA,NA,NA,24.78,23.25,NA,91.00,NA,NA,NA,716.75,NA
2019-01-01 18:00:00,47.25,153.00,40.90,77.80,74.65,6.85,5.52,3.98,3.24,0.90,5.52,NA,NA,NA,NA,22.67,30.25,NA,90.75,NA,NA,NA,717.75,NA
2019-01-01 19:00:00,70.50,219.50,34.80,70.65,65.88,9.72,6.02,3.55,0.98,1.30,7.72,NA,NA,NA,NA,21.72,33.00,NA,101.00,NA,NA,NA,718.00,NA
2019-01-01 20:00:00,77.75,200.25,16.00,49.80,39.50,9.38,5.08,2.11,6.18,1.35,8.00,NA,NA,NA,NA,21.25,35.00,NA,95.00,NA,NA,NA,718.75,NA
