Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,28.27,64.50,9.04,16.04,25.08,5.27,1.23,0.62,41.20,0.89,3.12,NA,NA,0.56,0.89,NA,NA,NA,NA,NA,NA,0.91,927.62,NA
2022-01-01 01:00:00,28.22,65.36,8.84,16.50,25.34,5.00,1.23,0.65,44.44,0.90,3.12,NA,NA,0.56,0.89,NA,99.76,NA,NA,NA,NA,0.91,927.32,NA
2022-01-01 02:00:00,28.58,65.35,8.59,17.13,25.72,5.43,1.23,0.60,43.88,0.89,3.12,NA,NA,0.56,0.89,NA,98.58,NA,NA,NA,NA,0.91,926.72,NA
2022-01-01 03:00:00,28.00,64.49,8.65,16.24,24.89,5.10,1.37,0.65,41.55,0.89,3.12,NA,NA,0.56,0.89,NA,99.11,NA,NA,NA,NA,0.91,926.97,NA
2022-01-01 04:00:00,28.58,65.55,8.34,16.62,24.96,5.17,1.64,0.60,40.32,0.89,3.12,NA,NA,0.56,0.89,NA,99.30,NA,NA,NA,NA,0.91,926.85,NA
2022-01-01 05:00:00,28.38,65.27,8.61,17.58,26.19,4.72,1.78,0.70,40.30,0.89,3.12,NA,NA,0.56,0.89,NA,NA,NA,NA,NA,NA,0.91,927.25,NA
2022-01-01 06:00:00,28.08,65.09,8.85,17.44,26.30,4.37,2.06,0.78,35.44,0.89,3.12,NA,NA,0.56,0.89,NA,NA,NA,NA,NA,NA,0.91,927.55,NA
2022-01-01 07:00:00,28.30,65.60,8.26,16.86,25.12,5.01,1.54,0.88,37.23,0.89,3.12,NA,NA,0.56,0.89,NA,98.34,NA,NA,NA,NA,5.05,926.95,NA
2022-01-01 08:00:00,28.38,64.90,8.59,19.09,27.68,3.96,1.30,1.18,37.74,0.89,3.12,NA,NA,0.56,0.89,NA,94.54,NA,NA,NA,NA,28.48,925.50,NA
2022-01-01 09:00:00,28.31,66.22,8.01,19.41,27.42,3.93,1.56,0.96,41.55,0.89,3.12,NA,NA,0.56,0.89,NA,83.72,NA,NA,NA,NA,257.39,922.30,NA
2022-01-01 10:00:00,28.55,65.50,8.16,17.31,25.47,4.38,1.55,0.82,47.27,0.89,3.12,NA,NA,0.56,0.89,NA,69.65,NA,NA,NA,NA,294.50,918.20,NA
2022-01-01 11:00:00,28.55,65.55,8.33,17.46,25.79,4.28,1.69,0.77,51.35,0.89,3.12,NA,NA,0.56,0.89,NA,63.28,NA,NA,NA,NA,351.55,916.60,NA
2022-01-01 12:00:00,28.58,65.81,8.17,16.96,25.13,4.57,2.40,0.78,48.86,0.89,3.12,NA,NA,0.56,0.89,NA,59.85,NA,NA,NA,NA,168.03,916.75,NA
2022-01-01 13:00:00,28.23,65.84,7.86,17.65,25.51,4.80,1.92,0.80,48.84,0.89,3.12,NA,NA,0.56,0.89,NA,57.25,NA,NA,NA,NA,198.82,915.60,NA
2022-01-01 14:00:00,28.71,65.61,9.20,20.86,30.05,4.43,1.62,0.76,44.86,0.89,3.12,NA,NA,0.56,0.89,NA,58.51,NA,NA,NA,NA,144.18,915.68,NA
2022-01-01 15:00:00,28.55,65.52,9.45,20.04,29.49,5.51,2.00,0.90,41.79,0.89,3.12,NA,NA,0.56,0.89,NA,62.18,NA,NA,NA,NA,41.58,916.68,NA
2022-01-01 16:00:00,27.90,65.24,10.26,21.04,31.31,5.60,3.29,0.78,39.20,0.89,3.12,NA,NA,0.56,0.89,NA,65.78,NA,NA,NA,NA,19.54,917.70,NA
2022-01-01 17:00:00,28.20,64.69,10.87,28.46,39.33,3.38,2.48,1.46,32.29,0.89,3.12,NA,NA,0.56,0.89,NA,70.22,NA,NA,NA,NA,0.93,919.40,NA
2022-01-01 18:00:00,28.46,65.10,11.02,25.34,36.36,3.73,1.69,1.21,30.80,0.89,3.12,NA,NA,0.56,0.89,NA,79.11,NA,NA,NA,NA,0.91,922.40,NA
2022-01-01 19:00:00,28.85,65.54,10.69,22.84,33.52,4.58,1.89,1.11,38.21,0.89,3.12,NA,NA,0.56,0.89,NA,82.16,NA,NA,NA,NA,0.91,923.00,NA
2022-01-01 20:00:00,28.59,65.11,9.12,19.03,28.16,5.19,1.48,0.82,38.65,0.89,3.12,NA,NA,0.56,0.89,NA,86.48,NA,NA,NA,NA,0.91,923.78,NA
2022-01-01 21:00:00,28.32,65.89,8.21,16.00,24.20,5.04,1.70,0.88,39.38,0.89,3.12,NA,NA,0.56,0.89,NA,90.89,NA,NA,NA,NA,0.91,924.72,NA
2022-01-01 22:00:00,28.54,65.65,8.54,17.26,25.80,4.64,1.34,0.88,38.21,0.89,3.12,NA,NA,0.56,0.89,NA,92.78,NA,NA,NA,NA,0.91,925.08,NA
2022-01-01 23:00:00,28.14,64.53,8.45,15.41,23.86,5.21,1.36,0.73,43.09,0.89,3.12,NA,NA,0.56,0.89,NA,93.37,NA,NA,NA,NA,0.91,925.20,NA
2022-01-02 00:00:00,28.54,66.28,7.82,14.97,22.78,5.30,1.25,0.62,46.29,0.89,3.12,NA,NA,0.56,0.89,NA,92.63,NA,NA,NA,NA,0.91,925.15,NA
2022-01-02 01:00:00,29.07,64.53,7.96,14.10,22.06,5.30,1.48,0.55,50.06,0.89,3.12,NA,NA,0.56,0.89,NA,91.13,NA,NA,NA,NA,0.91,924.82,NA
2022-01-02 02:00:00,28.16,65.82,7.63,14.02,21.65,5.58,1.55,0.55,49.54,0.89,3.12,NA,NA,0.56,0.89,NA,91.34,NA,NA,NA,NA,0.91,925.15,NA
2022-01-02 03:00:00,28.16,65.50,7.63,13.96,21.59,5.32,1.42,0.55,52.95,0.89,3.12,NA,NA,0.56,0.89,NA,91.43,NA,NA,NA,NA,0.91,925.15,NA
