Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,48.25,70.50,0.70,31.52,17.35,17.88,5.15,0.32,44.08,0.20,0.40,NA,NA,NA,NA,18.35,89.00,1.62,76.75,NA,0.00,NA,713.00,NA
2021-01-01 01:00:00,55.00,78.00,0.42,32.20,17.50,17.95,5.72,0.32,44.24,0.20,0.38,NA,NA,NA,NA,18.15,90.00,1.67,76.75,NA,0.00,NA,712.50,NA
2021-01-01 02:00:00,57.00,79.50,0.48,29.62,16.10,18.08,4.58,0.35,47.05,0.20,0.43,NA,NA,NA,NA,18.00,89.75,1.62,79.50,NA,0.00,NA,712.00,NA
2021-01-01 03:00:00,61.00,81.25,0.52,23.22,12.75,16.60,3.65,0.32,42.34,0.20,0.40,NA,NA,NA,NA,17.98,90.75,1.88,80.00,NA,0.00,NA,712.00,NA
2021-01-01 04:00:00,55.50,72.75,0.92,22.88,12.92,16.35,4.20,0.42,41.54,0.20,0.42,NA,NA,NA,NA,17.85,87.75,1.58,85.00,NA,0.00,NA,712.00,NA
2021-01-01 05:00:00,56.25,72.00,0.90,24.90,14.00,15.40,4.18,0.38,45.21,0.15,0.35,NA,NA,NA,NA,17.65,87.50,1.68,71.00,NA,0.00,NA,712.00,NA
2021-01-01 06:00:00,56.25,75.00,1.00,28.70,16.08,18.55,5.90,0.42,43.34,0.20,0.35,NA,NA,NA,NA,17.42,89.25,1.48,73.50,NA,0.00,NA,712.50,NA
2021-01-01 07:00:00,61.75,82.75,0.75,39.70,21.72,18.40,4.22,0.52,42.38,0.18,0.32,NA,NA,NA,NA,17.17,89.25,1.35,71.75,NA,0.00,NA,713.25,NA
2021-01-01 08:00:00,60.00,81.75,1.02,42.22,23.30,17.92,5.60,0.51,46.76,0.20,0.43,NA,NA,NA,NA,17.58,82.25,1.92,83.50,NA,0.00,NA,714.00,NA
2021-01-01 09:00:00,64.50,89.50,0.52,41.38,22.45,17.65,5.48,0.48,45.14,0.20,0.43,NA,NA,NA,NA,19.30,71.50,2.22,83.00,NA,0.00,NA,714.25,NA
2021-01-01 10:00:00,60.75,92.00,0.98,38.88,21.45,17.65,3.90,0.54,45.07,0.22,0.50,NA,NA,NA,NA,20.55,65.50,1.78,98.00,NA,0.00,NA,714.75,NA
2021-01-01 11:00:00,61.25,101.25,0.62,30.98,16.98,15.40,2.30,0.45,45.05,0.20,0.48,NA,NA,NA,NA,22.08,56.50,2.25,90.50,NA,0.00,NA,714.00,NA
2021-01-01 12:00:00,53.50,90.50,0.55,28.30,15.50,14.32,3.03,0.42,44.77,0.20,0.48,NA,NA,NA,NA,23.75,51.50,2.35,90.75,NA,0.00,NA,713.25,NA
2021-01-01 13:00:00,47.25,79.00,0.65,26.40,14.58,13.45,2.62,0.27,45.15,0.20,0.50,NA,NA,NA,NA,24.70,50.25,2.52,91.50,NA,0.00,NA,712.25,NA
2021-01-01 14:00:00,49.50,68.50,0.78,27.85,15.42,14.40,3.08,0.23,43.03,0.20,0.40,NA,NA,NA,NA,25.38,49.25,2.33,82.50,NA,0.00,NA,711.50,NA
2021-01-01 15:00:00,46.25,72.75,0.92,35.62,19.70,16.65,2.72,0.30,41.72,0.20,0.45,NA,NA,NA,NA,25.55,49.75,2.15,87.00,NA,0.00,NA,711.00,NA
2021-01-01 16:00:00,49.50,73.50,0.70,42.82,23.32,17.00,3.98,0.44,43.32,0.20,0.40,NA,NA,NA,NA,25.22,50.25,2.12,81.75,NA,0.00,NA,711.00,NA
2021-01-01 17:00:00,48.25,79.00,0.57,45.98,24.92,17.25,4.48,0.43,44.90,0.18,0.40,NA,NA,NA,NA,24.20,55.50,1.85,78.50,NA,0.00,NA,711.00,NA
2021-01-01 18:00:00,52.25,86.25,0.92,51.42,28.10,16.83,3.88,0.65,43.07,0.20,0.32,NA,NA,NA,NA,22.35,60.25,1.58,71.25,NA,0.00,NA,712.00,NA
2021-01-01 19:00:00,61.75,99.75,1.00,40.52,22.38,15.48,2.92,0.73,46.45,0.20,0.35,NA,NA,NA,NA,21.10,65.25,1.35,70.50,NA,0.00,NA,712.50,NA
2021-01-01 20:00:00,61.00,100.50,1.00,37.70,20.85,15.42,3.68,0.70,45.44,0.20,0.32,NA,NA,NA,NA,20.35,68.00,1.52,70.50,NA,0.00,NA,713.00,NA
2021-01-01 21:00:00,63.00,97.00,1.15,33.90,18.98,15.78,3.72,0.64,42.34,0.20,0.35,NA,NA,NA,NA,19.75,74.75,1.50,75.75,NA,0.00,NA,713.75,NA
2021-01-01 22:00:00,68.25,98.25,0.48,31.75,17.33,16.98,3.85,0.52,45.04,0.20,0.40,NA,NA,NA,NA,19.15,79.75,1.60,79.25,NA,0.00,NA,713.75,NA
2021-01-01 23:00:00,66.25,92.50,0.62,35.85,19.62,18.62,2.82,0.48,41.91,0.20,0.38,NA,NA,NA,NA,18.58,82.50,1.52,74.75,NA,0.00,NA,713.00,NA
2021-01-02 00:00:00,67.00,91.00,0.50,35.50,19.10,19.23,4.05,0.48,48.17,0.18,0.32,NA,NA,NA,NA,18.20,85.50,1.70,67.00,NA,0.00,NA,713.00,NA
2021-01-02 01:00:00,71.25,86.75,0.68,32.80,18.00,19.58,3.90,0.42,44.35,0.20,0.43,NA,NA,NA,NA,17.62,86.00,1.67,81.75,NA,0.00,NA,712.00,NA
2021-01-02 02:00:00,76.50,96.25,0.85,29.10,16.15,19.65,3.82,0.42,43.80,0.18,0.35,NA,NA,NA,NA,17.25,86.25,1.32,71.25,NA,0.00,NA,712.00,NA
2021-01-02 03:00:00,72.00,100.00,0.78,21.35,11.98,18.52,3.50,0.37,44.71,0.20,0.35,NA,NA,NA,NA,16.80,87.00,1.27,74.50,NA,0.00,NA,712.00,NA
2021-01-02 04:00:00,66.25,90.75,0.85,21.65,12.20,17.80,3.55,0.36,45.67,0.20,0.48,NA,NA,NA,NA,16.60,87.50,1.12,93.00,NA,0.00,NA,712.00,NA
2021-01-02 05:00:00,67.00,91.75,0.90,22.00,12.45,18.95,3.22,0.34,44.27,0.20,0.43,NA,NA,NA,NA,16.60,86.25,1.72,82.00,NA,0.00,NA,712.00,NA
2021-01-02 06:00:00,67.00,88.00,1.10,21.40,12.30,19.60,NA,0.27,41.20,0.20,0.40,NA,NA,NA,NA,16.60,86.00,1.50,85.00,NA,0.00,NA,713.00,NA
2021-01-02 07:00:00,57.00,76.00,0.45,34.25,18.60,18.95,2.50,0.44,43.26,0.20,0.35,NA,NA,NA,NA,16.60,86.00,1.30,76.00,NA,0.00,NA,713.50,NA
2021-01-02 08:00:00,59.00,75.50,0.82,42.88,23.50,18.88,5.30,0.52,44.98,0.20,0.50,NA,NA,NA,NA,17.40,83.00,1.27,95.50,NA,0.00,NA,714.50,NA
2021-01-02 09:00:00,65.00,95.00,0.80,43.80,23.90,18.90,5.00,0.57,44.92,0.20,0.30,NA,NA,NA,NA,18.30,81.00,1.80,71.00,NA,0.00,NA,715.00,NA
2021-01-02 10:00:00,49.75,86.50,0.70,42.20,22.85,17.18,3.45,0.57,43.10,0.20,0.45,NA,NA,NA,NA,20.25,68.25,2.05,85.50,NA,0.00,NA,714.00,NA
2021-01-02 11:00:00,41.00,72.75,0.57,32.65,17.82,14.38,1.83,0.42,47.24,0.20,0.45,NA,NA,NA,NA,23.10,64.50,2.22,84.00,NA,0.00,NA,713.75,NA
2021-01-02 12:00:00,35.00,63.00,1.02,34.80,19.35,13.85,1.90,0.50,46.43,0.20,0.40,NA,NA,NA,NA,24.00,63.25,2.25,80.75,NA,0.00,NA,712.50,NA
2021-01-02 13:00:00,39.00,63.25,0.95,37.02,20.45,13.50,1.55,0.55,46.31,0.20,0.43,NA,NA,NA,NA,24.78,65.25,2.00,81.50,NA,0.00,NA,711.50,NA
2021-01-02 14:00:00,45.25,67.50,0.78,39.17,21.45,15.20,4.15,0.57,43.57,0.20,0.38,NA,NA,NA,NA,24.40,68.25,1.83,77.00,NA,0.00,NA,711.00,NA
2021-01-02 15:00:00,46.50,71.75,1.05,44.85,24.75,17.85,4.93,0.66,41.77,0.20,0.40,NA,NA,NA,NA,23.38,70.00,1.65,79.25,NA,0.00,NA,710.50,NA
2021-01-02 16:00:00,48.50,84.00,0.55,49.00,26.52,18.88,6.85,0.60,42.00,0.20,0.48,NA,NA,NA,NA,22.75,70.50,1.27,91.00,NA,0.00,NA,711.00,NA
2021-01-02 17:00:00,49.00,89.75,0.90,51.42,28.05,18.90,7.60,0.68,45.71,0.20,0.32,NA,NA,NA,NA,22.38,72.50,1.60,73.75,NA,0.00,NA,711.00,NA
2021-01-02 18:00:00,49.00,95.00,0.85,48.20,26.25,18.40,3.90,0.75,42.62,0.20,0.35,NA,NA,NA,NA,22.00,74.50,1.80,71.50,NA,0.00,NA,711.50,NA
2021-01-02 19:00:00,56.00,83.00,0.32,40.88,22.02,16.05,2.17,0.87,37.07,0.20,0.43,NA,NA,NA,NA,21.10,79.50,1.32,79.75,NA,0.00,NA,712.00,NA
2021-01-02 20:00:00,57.00,76.00,0.80,35.80,19.70,15.10,2.40,0.69,37.36,0.20,0.40,NA,NA,NA,NA,20.70,82.00,1.40,82.00,NA,0.00,NA,713.00,NA
