Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,46.97,86.60,8.62,38.30,46.92,14.52,10.44,0.60,21.98,0.82,1.38,NA,NA,0.54,0.89,NA,93.86,0.96,229.66,NA,NA,31.92,936.38,-0.75
2025-01-01 01:00:00,49.86,95.55,8.58,38.01,46.58,14.52,10.41,0.55,21.86,0.80,1.36,NA,NA,0.53,0.89,NA,93.86,1.00,235.03,NA,NA,32.38,936.92,-0.74
2025-01-01 02:00:00,46.52,104.32,8.49,37.63,46.12,14.53,10.46,0.53,21.36,0.81,1.38,NA,NA,0.54,0.90,NA,93.86,0.86,252.97,NA,NA,31.90,936.00,-0.75
2025-01-01 03:00:00,53.72,104.64,8.43,37.29,45.72,14.50,10.62,0.58,22.49,0.80,1.36,NA,NA,0.53,0.88,NA,93.86,0.79,241.78,NA,NA,31.76,936.98,-0.75
2025-01-01 04:00:00,41.55,105.98,8.35,37.01,45.36,14.48,10.53,0.57,21.82,0.80,1.36,NA,NA,0.53,0.88,NA,93.86,0.88,228.82,NA,NA,31.84,937.45,-0.75
2025-01-01 05:00:00,39.18,97.94,8.25,36.54,44.79,14.45,10.60,0.54,21.50,0.80,1.37,NA,NA,0.53,0.87,NA,93.86,0.90,225.48,NA,NA,31.90,937.62,-0.75
2025-01-01 06:00:00,43.56,96.36,8.20,36.29,44.48,14.39,10.56,0.51,21.76,0.82,1.39,NA,NA,0.54,0.88,NA,93.86,0.76,238.80,NA,NA,32.59,938.65,-0.76
2025-01-01 07:00:00,35.28,94.04,8.16,36.20,44.36,14.36,10.46,0.50,22.55,0.80,1.37,NA,NA,0.54,0.88,NA,93.86,0.92,231.24,NA,NA,43.17,938.35,-0.75
2025-01-01 08:00:00,29.34,96.54,8.10,35.86,43.96,14.31,10.61,0.52,22.40,0.81,1.37,NA,NA,0.54,0.90,NA,93.64,0.94,223.90,NA,NA,58.46,937.75,-0.77
2025-01-01 09:00:00,34.86,73.58,6.77,30.85,37.62,13.77,10.47,0.51,22.00,0.80,1.37,NA,NA,0.54,0.88,NA,85.76,1.00,240.21,NA,NA,67.95,937.62,-0.77
2025-01-01 10:00:00,42.99,52.80,5.48,26.50,31.97,13.66,10.54,0.54,22.55,0.80,1.36,NA,NA,0.53,0.89,NA,74.97,1.00,244.77,NA,NA,108.41,937.25,-0.81
2025-01-01 11:00:00,17.69,42.75,5.37,26.38,31.74,13.78,10.54,0.53,21.96,0.80,1.38,NA,NA,0.53,0.89,NA,64.12,0.94,246.24,NA,NA,100.24,936.20,-0.86
2025-01-01 12:00:00,19.14,45.35,5.93,28.98,34.90,13.14,10.54,0.53,21.44,0.81,1.38,NA,NA,0.54,0.87,NA,58.86,0.81,244.22,NA,NA,131.30,934.38,-0.78
2025-01-01 13:00:00,19.96,51.80,7.01,32.79,39.80,13.42,10.44,0.56,22.33,0.81,1.37,NA,NA,0.53,0.88,NA,53.74,0.86,242.16,NA,NA,106.94,932.08,-0.76
2025-01-01 14:00:00,29.61,48.06,7.70,35.65,43.34,13.66,10.50,0.50,21.83,0.80,1.36,NA,NA,0.53,0.88,NA,50.79,0.92,232.69,NA,NA,98.74,933.08,-0.76
2025-01-01 15:00:00,31.07,55.39,8.17,37.48,45.64,13.81,10.28,0.50,22.13,0.80,1.36,NA,NA,0.53,0.90,NA,52.65,0.90,239.05,NA,NA,71.53,933.15,-0.76
2025-01-01 16:00:00,29.65,56.11,8.50,38.65,47.14,13.90,10.34,0.44,21.99,0.80,1.37,NA,NA,0.53,0.90,NA,53.71,1.03,233.92,NA,NA,58.21,935.95,-0.75
2025-01-01 17:00:00,33.13,57.03,8.68,39.27,47.96,14.00,10.65,0.46,22.33,0.80,1.37,NA,NA,0.53,0.88,NA,57.64,1.10,228.66,NA,NA,37.65,936.30,-0.75
2025-01-01 18:00:00,36.54,63.26,8.72,39.20,47.92,14.05,10.54,0.44,22.07,0.80,1.38,NA,NA,0.54,0.88,NA,62.78,1.02,233.06,NA,NA,31.56,938.00,-0.75
2025-01-01 19:00:00,49.17,73.16,8.73,39.14,47.87,14.09,10.35,0.48,22.38,0.80,1.36,NA,NA,0.53,0.88,NA,68.59,1.04,225.56,NA,NA,31.58,938.88,-0.76
2025-01-01 20:00:00,53.26,81.42,8.72,38.98,47.70,14.16,10.48,0.44,21.80,0.80,1.37,NA,NA,0.53,0.88,NA,73.51,1.02,231.53,NA,NA,31.92,938.72,-0.76
2025-01-01 21:00:00,55.31,83.59,8.66,38.68,47.34,14.23,10.48,0.42,21.71,0.80,1.37,NA,NA,0.53,0.88,NA,78.97,0.94,239.11,NA,NA,31.88,938.85,-0.76
2025-01-01 22:00:00,49.58,87.73,8.62,38.45,47.08,14.31,10.56,0.44,21.78,0.81,1.37,NA,NA,0.54,0.88,NA,85.63,0.92,234.32,NA,NA,31.82,938.97,-0.76
2025-01-01 23:00:00,49.89,92.95,8.56,38.15,46.71,14.41,10.54,0.45,21.93,0.80,1.37,NA,NA,0.53,0.90,NA,92.78,0.97,229.10,NA,NA,31.95,939.68,-0.76
2025-01-02 00:00:00,53.92,107.39,8.45,37.70,46.16,14.47,10.58,0.44,22.22,0.81,1.38,NA,NA,0.53,0.88,NA,93.86,0.95,235.04,NA,NA,31.82,939.65,-0.76
2025-01-02 01:00:00,51.28,114.00,8.35,37.17,45.52,14.50,10.49,0.44,22.26,0.80,1.37,NA,NA,0.53,0.88,NA,93.86,0.98,226.87,NA,NA,31.96,939.80,-0.75
2025-01-02 02:00:00,44.62,116.42,8.25,36.71,44.96,14.52,10.77,0.41,22.61,0.80,1.37,NA,NA,0.54,0.88,NA,93.86,0.92,239.96,NA,NA,31.99,940.72,-0.75
2025-01-02 03:00:00,40.74,114.95,8.19,36.36,44.55,14.55,10.53,0.45,21.94,0.81,1.38,NA,NA,0.54,0.90,NA,93.86,0.98,234.46,NA,NA,32.24,941.30,-0.75
2025-01-02 04:00:00,44.56,113.60,8.12,36.06,44.18,14.52,10.67,0.42,22.31,0.80,1.36,NA,NA,0.52,0.89,NA,93.86,0.94,243.14,NA,NA,32.00,941.00,-0.75
2025-01-02 05:00:00,45.96,100.46,8.04,35.76,43.80,14.46,10.52,0.43,22.48,0.81,1.38,NA,NA,0.53,0.89,NA,93.86,0.88,252.79,NA,NA,32.05,941.73,-0.75
2025-01-02 06:00:00,44.85,92.40,7.98,35.61,43.60,14.43,10.60,0.53,21.60,0.80,1.37,NA,NA,0.53,0.88,NA,93.86,0.97,229.22,NA,NA,33.08,941.97,-0.76
2025-01-02 07:00:00,46.20,96.97,8.03,35.76,43.79,14.45,10.43,0.57,21.18,0.80,1.37,NA,NA,0.53,0.88,NA,93.86,0.95,236.52,NA,NA,40.78,941.50,-0.76
2025-01-02 08:00:00,47.29,100.41,7.92,35.52,43.44,14.37,10.57,0.56,22.18,0.81,1.38,NA,NA,0.54,0.88,NA,92.90,1.03,230.46,NA,NA,58.46,941.05,-0.77
2025-01-02 09:00:00,43.58,78.57,7.69,34.66,42.35,14.26,10.55,0.55,22.17,0.80,1.36,NA,NA,0.53,0.89,NA,83.03,0.96,228.90,NA,NA,76.04,940.40,-0.78
2025-01-02 10:00:00,44.22,68.04,6.06,28.09,34.16,13.55,10.52,0.57,22.33,0.81,1.38,NA,NA,0.54,0.89,NA,77.40,0.82,235.98,NA,NA,107.58,939.85,-0.78
2025-01-02 11:00:00,48.37,70.46,5.22,24.94,30.16,13.50,11.07,0.57,21.95,0.82,1.40,NA,NA,0.55,0.84,NA,68.39,0.96,225.20,NA,NA,104.17,938.52,-0.82
2025-01-02 12:00:00,40.33,67.28,5.90,28.30,34.19,13.12,13.75,0.62,24.22,0.92,1.56,NA,NA,0.62,0.68,NA,60.62,0.92,222.48,NA,NA,131.81,936.82,-0.77
2025-01-02 13:00:00,29.44,67.26,6.78,31.65,38.43,13.40,13.79,0.57,23.77,0.92,1.57,NA,NA,0.63,0.68,NA,55.52,0.93,228.83,NA,NA,108.56,935.38,-0.76
2025-01-02 14:00:00,30.32,67.10,7.42,34.28,41.70,13.61,13.54,0.58,23.66,0.92,1.57,NA,NA,0.62,0.67,NA,53.21,1.04,215.56,NA,NA,98.02,935.28,-0.76
2025-01-02 15:00:00,31.37,65.57,7.90,36.21,44.10,13.79,13.64,0.56,23.60,0.92,1.58,NA,NA,0.62,0.69,NA,53.81,1.01,220.78,NA,NA,71.97,936.00,-0.75
2025-01-02 16:00:00,38.97,69.45,8.40,38.08,46.49,14.06,13.73,0.57,23.54,0.92,1.57,NA,NA,0.62,0.67,NA,52.73,1.05,229.28,NA,NA,55.92,937.50,-0.76
2025-01-02 17:00:00,40.02,68.86,8.72,39.31,48.03,14.25,13.64,0.58,24.17,0.95,1.62,NA,NA,0.65,0.67,NA,56.94,1.01,233.59,NA,NA,33.34,938.87,-0.76
2025-01-02 18:00:00,45.00,68.36,8.73,39.34,48.07,14.24,13.86,0.54,23.38,0.92,1.58,NA,NA,0.63,0.68,NA,61.46,1.02,218.60,NA,NA,31.32,938.20,-0.76
2025-01-02 19:00:00,46.63,74.58,8.71,39.34,48.05,14.29,13.65,0.53,23.67,0.92,1.58,NA,NA,0.63,0.67,NA,68.11,1.06,204.28,NA,NA,31.62,938.82,-0.76
2025-01-02 20:00:00,47.11,80.44,8.66,39.12,47.78,14.30,13.53,0.53,23.78,0.92,1.57,NA,NA,0.62,0.67,NA,73.31,0.98,213.09,NA,NA,31.84,938.60,-0.76
2025-01-02 21:00:00,43.42,83.68,8.62,38.80,47.41,14.32,13.66,0.54,24.21,0.92,1.58,NA,NA,0.63,0.68,NA,78.01,0.91,224.22,NA,NA,31.82,938.15,-0.76
2025-01-02 22:00:00,46.98,87.02,8.54,38.36,46.91,14.36,13.75,0.56,23.34,0.92,1.57,NA,NA,0.63,0.66,NA,83.20,0.91,224.67,NA,NA,31.95,938.88,-0.76
2025-01-02 23:00:00,49.66,90.84,8.46,37.83,46.30,14.37,13.85,0.66,23.75,0.92,1.58,NA,NA,0.63,0.68,NA,90.44,0.93,229.53,NA,NA,32.50,938.65,-0.76
2025-01-03 00:00:00,45.85,94.62,8.41,37.55,45.95,14.36,13.55,0.63,23.58,0.92,1.58,NA,NA,0.63,0.68,NA,93.86,0.88,245.91,NA,NA,31.74,938.60,-0.75
2025-01-03 01:00:00,39.60,96.16,8.32,37.06,45.39,14.36,13.59,0.67,23.52,0.92,1.57,NA,NA,0.62,0.68,NA,93.86,0.87,237.08,NA,NA,32.17,938.62,-0.74
2025-01-03 02:00:00,43.89,99.26,8.15,36.24,44.39,14.24,13.61,0.67,23.60,0.92,1.57,NA,NA,0.62,0.68,NA,93.86,0.85,234.43,NA,NA,32.50,938.15,-0.74
2025-01-03 03:00:00,44.68,96.69,8.10,36.10,44.19,14.30,13.83,0.66,24.52,0.92,1.58,NA,NA,0.63,0.68,NA,93.86,0.79,236.09,NA,NA,31.98,938.50,-0.74
2025-01-03 04:00:00,38.89,99.19,8.04,35.83,43.87,14.26,13.59,0.70,23.21,0.93,1.58,NA,NA,0.63,0.68,NA,93.86,0.90,234.03,NA,NA,32.33,938.98,-0.74
2025-01-03 05:00:00,42.01,98.72,8.04,35.75,43.80,14.27,13.75,0.67,24.11,0.93,1.59,NA,NA,0.63,0.68,NA,93.86,0.84,247.44,NA,NA,31.78,939.12,-0.74
2025-01-03 06:00:00,46.68,106.80,8.02,35.74,43.77,14.27,13.76,0.55,23.95,0.91,1.56,NA,NA,0.62,0.68,NA,93.86,0.83,237.70,NA,NA,32.28,939.75,-0.75
2025-01-03 07:00:00,44.86,115.26,8.09,36.11,44.20,14.29,13.80,0.44,24.05,0.92,1.57,NA,NA,0.62,0.68,NA,93.86,0.81,266.60,NA,NA,43.04,939.40,-0.75
2025-01-03 08:00:00,44.27,113.17,8.12,36.32,44.45,14.32,13.82,0.47,23.56,0.91,1.55,NA,NA,0.62,0.67,NA,93.60,0.91,231.95,NA,NA,57.54,939.55,-0.77
2025-01-03 09:00:00,50.79,86.04,7.94,35.80,43.74,14.18,13.87,0.46,24.10,0.92,1.57,NA,NA,0.62,0.70,NA,85.84,0.96,256.05,NA,NA,72.38,938.82,-0.78
2025-01-03 10:00:00,49.01,80.11,5.64,28.06,33.69,13.52,13.58,0.48,23.07,0.91,1.57,NA,NA,0.62,0.68,NA,77.92,0.80,250.62,NA,NA,101.68,937.30,-0.80
2025-01-03 11:00:00,46.36,76.45,5.33,29.30,34.63,13.48,13.76,0.52,23.18,0.93,1.60,NA,NA,0.64,0.67,NA,65.76,0.76,276.64,NA,NA,99.24,935.40,-0.80
2025-01-03 12:00:00,38.84,74.68,6.07,30.52,36.60,13.27,15.05,0.50,24.30,0.88,1.51,NA,NA,0.60,0.74,NA,55.31,0.84,251.96,NA,NA,137.29,933.95,-0.76
2025-01-03 13:00:00,31.80,70.20,6.91,32.80,39.71,13.46,17.36,0.48,26.40,0.85,1.46,NA,NA,0.57,0.86,NA,48.46,0.89,254.40,NA,NA,105.49,932.32,-0.76
2025-01-03 14:00:00,56.42,71.11,8.16,37.39,45.55,13.83,17.32,0.64,26.31,0.85,1.45,NA,NA,0.57,0.88,NA,45.55,0.87,234.27,NA,NA,91.30,933.50,-0.76
2025-01-03 15:00:00,39.38,53.72,8.04,37.01,45.06,13.82,17.28,0.66,26.16,0.84,1.44,NA,NA,0.56,0.86,NA,45.87,0.93,223.44,NA,NA,68.32,933.47,-0.76
2025-01-03 16:00:00,42.80,53.86,8.32,38.06,46.38,13.93,17.31,0.61,26.20,0.84,1.44,NA,NA,0.56,0.85,NA,48.59,1.00,237.32,NA,NA,56.97,934.62,-0.76
2025-01-03 17:00:00,44.14,59.13,8.52,38.63,47.15,14.03,17.32,0.61,26.92,0.84,1.43,NA,NA,0.56,0.86,NA,52.09,1.09,233.85,NA,NA,37.51,935.58,-0.76
2025-01-03 18:00:00,40.42,60.98,8.58,38.77,47.35,14.07,17.42,0.58,25.68,0.85,1.44,NA,NA,0.57,0.88,NA,59.91,1.04,233.39,NA,NA,31.40,936.42,-0.75
2025-01-03 19:00:00,44.73,68.48,8.57,38.66,47.23,14.11,17.17,0.57,26.06,0.83,1.42,NA,NA,0.56,0.88,NA,68.00,1.06,229.90,NA,NA,31.71,936.12,-0.76
2025-01-03 20:00:00,46.44,75.02,8.35,37.85,46.21,14.03,17.47,0.64,26.06,0.83,1.42,NA,NA,0.55,0.88,NA,76.17,0.94,221.40,NA,NA,31.62,937.00,-0.76
2025-01-03 21:00:00,49.32,89.59,8.38,37.81,46.20,14.08,17.25,0.60,26.72,0.84,1.43,NA,NA,0.56,0.88,NA,84.63,0.91,215.74,NA,NA,31.63,937.45,-0.76
2025-01-03 22:00:00,51.86,93.88,8.26,37.26,45.52,14.09,17.30,0.60,26.12,0.85,1.45,NA,NA,0.57,0.87,NA,88.74,0.96,216.08,NA,NA,31.91,937.90,-0.76
2025-01-03 23:00:00,54.24,90.54,8.18,36.80,44.98,14.09,17.23,0.61,25.17,0.84,1.43,NA,NA,0.56,0.88,NA,90.77,0.97,229.51,NA,NA,31.96,938.10,-0.76
2025-01-04 00:00:00,49.58,91.51,8.12,36.46,44.58,14.12,17.24,0.60,25.88,0.86,1.46,NA,NA,0.57,0.88,NA,93.79,0.90,224.26,NA,NA,31.75,938.65,-0.76
2025-01-04 01:00:00,44.60,92.26,8.07,36.15,44.22,14.15,17.54,0.62,25.82,0.84,1.44,NA,NA,0.56,0.85,NA,93.86,0.95,229.36,NA,NA,31.87,938.53,-0.75
2025-01-04 02:00:00,25.27,91.56,8.13,36.30,44.64,14.24,17.25,0.62,26.56,0.85,1.45,NA,NA,0.57,0.86,NA,93.86,0.96,240.34,NA,NA,31.94,938.97,-0.75
2025-01-04 03:00:00,31.43,94.80,8.04,35.94,43.97,14.22,17.40,0.56,25.93,0.84,1.44,NA,NA,0.56,0.88,NA,93.86,0.96,225.13,NA,NA,31.68,940.55,-0.75
2025-01-04 04:00:00,46.46,100.18,7.90,35.44,43.34,14.18,17.34,0.60,26.01,0.85,1.44,NA,NA,0.56,0.88,NA,93.86,0.96,219.55,NA,NA,31.36,942.62,-0.75
2025-01-04 05:00:00,40.39,98.59,7.78,34.85,42.63,14.09,17.35,0.56,26.01,0.86,1.46,NA,NA,0.57,0.88,NA,93.86,0.94,239.02,NA,NA,31.77,942.88,-0.75
2025-01-04 06:00:00,42.36,98.20,7.76,34.62,42.37,14.04,17.26,0.57,26.34,0.85,1.45,NA,NA,0.57,0.87,NA,93.86,1.00,217.62,NA,NA,32.45,942.05,-0.75
2025-01-04 07:00:00,39.95,93.35,7.66,34.09,41.76,13.99,17.29,0.50,26.46,0.84,1.44,NA,NA,0.56,0.87,NA,93.86,1.02,216.07,NA,NA,42.65,941.30,-0.75
2025-01-04 08:00:00,40.49,95.48,7.54,33.60,41.14,13.95,17.53,0.51,26.51,0.84,1.42,NA,NA,0.56,0.89,NA,93.86,1.03,215.72,NA,NA,58.93,940.15,-0.76
2025-01-04 09:00:00,40.80,97.01,7.49,33.61,41.10,13.92,17.30,0.52,25.77,0.84,1.44,NA,NA,0.57,0.87,NA,91.80,0.85,227.95,NA,NA,71.88,939.47,-0.77
