Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,71.75,101.00,1.32,3.35,3.90,2.15,6.82,0.32,16.72,0.15,0.55,NA,NA,NA,NA,21.62,83.00,NA,166.25,NA,NA,NA,718.00,NA
2025-01-01 01:00:00,91.00,117.75,1.05,3.92,3.78,2.08,8.50,0.38,17.62,0.23,0.77,NA,NA,NA,NA,21.42,85.25,NA,135.50,NA,NA,NA,717.75,NA
2025-01-01 02:00:00,83.00,108.75,1.40,3.35,4.07,2.12,11.23,0.36,16.19,0.32,1.12,NA,NA,NA,NA,21.30,86.00,NA,149.25,NA,NA,NA,717.00,NA
2025-01-01 03:00:00,65.50,86.75,1.12,3.78,3.90,2.15,13.50,0.31,18.90,0.40,1.40,NA,NA,NA,NA,21.00,86.00,NA,157.25,NA,NA,NA,716.25,NA
2025-01-01 04:00:00,56.25,68.50,1.55,3.90,4.60,2.00,15.08,0.26,21.24,0.43,1.60,NA,NA,NA,NA,20.70,86.50,NA,200.75,NA,NA,NA,716.00,NA
2025-01-01 05:00:00,51.25,70.00,0.88,4.22,3.70,2.07,16.00,0.30,18.35,0.50,1.72,NA,NA,NA,NA,20.50,88.00,NA,150.50,NA,NA,NA,716.75,NA
2025-01-01 06:00:00,51.25,72.25,1.20,3.70,3.92,2.12,16.15,0.37,18.29,0.50,1.75,NA,NA,NA,NA,20.23,89.00,NA,192.75,NA,NA,NA,717.00,NA
2025-01-01 07:00:00,49.25,79.50,1.42,3.22,4.05,2.12,15.30,0.44,17.36,0.45,1.65,NA,NA,NA,NA,20.38,88.25,NA,151.75,NA,NA,NA,718.00,NA
2025-01-01 08:00:00,49.75,82.50,0.98,3.15,3.22,2.20,12.30,0.50,17.89,0.38,1.28,NA,NA,NA,NA,21.25,78.75,NA,125.00,NA,NA,NA,718.00,NA
2025-01-01 09:00:00,48.50,87.25,1.48,3.55,4.25,2.12,12.90,0.40,18.95,0.38,1.32,NA,NA,NA,NA,22.52,64.50,NA,147.50,NA,NA,NA,719.00,NA
2025-01-01 10:00:00,45.75,87.50,1.40,3.60,4.22,2.10,10.12,0.37,19.08,0.30,0.98,NA,NA,NA,NA,24.28,52.25,NA,138.75,NA,NA,NA,719.00,NA
2025-01-01 11:00:00,42.50,87.00,1.32,3.82,4.12,2.10,13.88,0.28,17.78,0.43,1.45,NA,NA,NA,NA,25.02,44.75,NA,163.00,NA,NA,NA,718.25,NA
2025-01-01 12:00:00,43.75,86.25,1.50,3.58,4.32,2.10,15.68,0.43,17.26,0.45,1.67,NA,NA,NA,NA,26.15,42.25,NA,151.25,NA,NA,NA,717.25,NA
2025-01-01 13:00:00,44.75,77.25,1.20,4.32,4.25,2.02,15.68,0.48,18.67,0.50,1.72,NA,NA,NA,NA,26.78,40.25,NA,126.00,NA,NA,NA,715.75,NA
2025-01-01 14:00:00,49.00,84.50,1.22,3.92,4.05,2.12,16.52,0.44,17.94,0.50,1.80,NA,NA,NA,NA,27.20,38.00,NA,152.75,NA,NA,NA,715.00,NA
2025-01-01 15:00:00,46.00,85.25,1.35,3.60,4.12,2.15,15.55,0.44,18.53,0.48,1.70,NA,NA,NA,NA,27.35,38.25,NA,161.75,NA,NA,NA,714.00,NA
2025-01-01 16:00:00,45.50,85.00,1.18,3.98,4.05,2.12,13.25,0.55,18.06,0.38,1.38,NA,NA,NA,NA,26.92,40.00,NA,156.75,NA,NA,NA,714.00,NA
2025-01-01 17:00:00,46.75,94.75,1.25,3.60,3.90,2.07,13.38,0.62,17.56,0.38,1.40,NA,NA,NA,NA,25.25,47.00,NA,149.00,NA,NA,NA,714.75,NA
