Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,47.99,94.19,7.51,15.30,23.02,12.51,7.44,0.88,32.20,0.66,1.84,NA,NA,NA,0.64,NA,92.72,NA,NA,NA,NA,5.59,952.92,NA
2025-01-01 01:00:00,48.99,96.16,7.68,17.61,25.36,12.68,7.47,0.86,31.72,0.64,1.89,NA,NA,NA,0.65,NA,93.50,NA,NA,NA,NA,5.59,952.77,NA
2025-01-01 02:00:00,50.97,100.04,5.95,17.66,23.44,10.95,8.10,0.88,32.53,0.64,1.88,NA,NA,NA,0.65,NA,93.57,NA,NA,NA,NA,5.59,952.62,NA
2025-01-01 03:00:00,48.21,94.64,7.53,16.96,24.70,12.53,9.14,0.89,32.48,0.62,1.88,NA,NA,NA,0.66,NA,93.60,NA,NA,NA,NA,5.59,952.49,NA
2025-01-01 04:00:00,45.52,89.35,6.95,15.81,22.78,11.95,6.36,0.86,32.54,0.64,1.88,NA,NA,NA,0.64,NA,93.57,NA,NA,NA,NA,5.59,952.48,NA
2025-01-01 05:00:00,44.18,86.73,5.80,17.32,22.93,10.80,6.92,0.86,32.37,0.68,1.89,NA,NA,NA,0.66,NA,93.52,NA,NA,NA,NA,5.59,952.54,NA
2025-01-01 06:00:00,40.50,79.51,7.08,16.37,23.40,12.08,7.12,0.87,32.12,0.65,1.91,NA,NA,NA,0.65,NA,93.60,NA,NA,NA,NA,5.59,952.69,NA
2025-01-01 07:00:00,38.89,76.35,7.86,16.91,24.76,12.86,7.18,0.87,31.94,0.64,1.87,NA,NA,NA,0.64,NA,93.50,NA,NA,NA,NA,5.62,952.84,NA
2025-01-01 08:00:00,39.82,78.16,7.34,17.95,25.04,12.34,8.01,0.86,32.18,0.64,1.89,NA,NA,NA,0.64,NA,73.10,NA,NA,NA,NA,236.96,953.00,NA
2025-01-01 09:00:00,43.35,85.10,8.40,16.42,24.70,13.40,7.45,0.87,32.33,0.66,1.87,NA,NA,NA,0.64,NA,49.90,NA,NA,NA,NA,383.73,953.09,NA
