Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,59.75,131.25,1.18,13.92,8.35,1.82,10.63,0.24,21.89,1.03,2.27,NA,NA,NA,NA,19.05,64.00,1.08,97.50,NA,0.00,NA,718.50,NA
2025-01-01 01:00:00,68.50,151.00,1.32,13.82,8.45,1.75,10.42,0.49,21.81,1.00,2.25,NA,NA,NA,NA,18.50,64.25,1.10,97.50,NA,0.00,NA,718.00,NA
2025-01-01 02:00:00,70.00,154.00,1.40,13.90,8.60,1.70,9.90,0.51,21.25,1.00,2.10,NA,NA,NA,NA,18.20,65.00,0.70,119.00,NA,0.00,NA,717.00,NA
2025-01-01 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,29.00,64.00,1.80,14.20,9.05,1.65,10.70,0.38,20.74,1.05,2.35,NA,NA,NA,NA,26.80,47.00,1.55,137.50,NA,0.00,NA,714.50,NA
2025-01-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 16:00:00,29.25,83.00,1.37,14.30,8.70,1.77,11.07,0.41,20.60,1.10,2.40,NA,NA,NA,NA,27.15,47.25,1.13,102.67,NA,0.00,NA,714.00,NA
2025-01-01 17:00:00,33.50,87.00,1.18,14.55,8.70,1.85,10.38,0.51,21.23,1.00,2.25,NA,NA,NA,NA,26.15,48.75,1.20,104.50,NA,0.00,NA,714.25,NA
2025-01-01 18:00:00,37.25,101.50,1.25,14.40,8.70,2.02,10.08,0.66,21.23,0.98,2.17,NA,NA,NA,NA,23.90,51.75,1.05,83.50,NA,0.00,NA,715.25,NA
2025-01-01 19:00:00,44.00,114.00,1.10,14.78,8.75,2.08,9.78,0.75,21.66,0.95,2.10,NA,NA,NA,NA,21.83,54.50,1.02,88.00,NA,0.00,NA,716.25,NA
2025-01-01 20:00:00,44.50,103.25,1.10,14.88,8.80,2.00,9.48,0.80,21.83,0.92,2.05,NA,NA,NA,NA,20.78,56.25,1.05,95.50,NA,0.00,NA,717.00,NA
2025-01-01 21:00:00,46.50,108.00,1.48,14.70,9.02,1.85,9.60,0.48,21.83,0.95,2.05,NA,NA,NA,NA,19.90,57.25,0.88,87.75,NA,0.00,NA,718.00,NA
2025-01-01 22:00:00,50.50,114.50,1.05,14.82,8.78,1.85,9.88,0.48,21.34,0.95,2.12,NA,NA,NA,NA,19.15,58.50,0.68,117.75,NA,0.00,NA,718.00,NA
2025-01-01 23:00:00,60.75,120.75,1.23,14.23,8.55,1.82,10.50,0.37,21.92,1.02,2.28,NA,NA,NA,NA,18.52,60.50,0.72,98.50,NA,0.00,NA,717.75,NA
2025-01-02 00:00:00,71.00,110.50,1.27,14.10,8.55,1.75,9.33,0.36,21.93,0.93,2.00,NA,NA,NA,NA,17.88,62.50,0.75,100.50,NA,0.00,NA,717.00,NA
2025-01-02 01:00:00,76.50,116.75,1.58,13.98,8.72,1.75,8.90,0.64,19.10,0.88,1.95,NA,NA,NA,NA,17.35,64.00,0.70,102.75,NA,0.00,NA,716.25,NA
2025-01-02 02:00:00,73.25,115.25,1.42,13.80,8.48,1.80,9.00,0.63,22.50,0.88,1.98,NA,NA,NA,NA,16.77,63.75,0.55,133.25,NA,0.00,NA,715.75,NA
2025-01-02 03:00:00,65.25,113.75,1.12,14.00,8.38,1.78,9.07,0.58,20.39,0.88,1.95,NA,NA,NA,NA,16.35,63.00,0.82,79.75,NA,0.00,NA,715.00,NA
2025-01-02 04:00:00,57.00,92.25,1.20,14.10,8.50,1.70,9.05,0.57,21.13,0.90,1.95,NA,NA,NA,NA,16.12,62.75,0.50,153.75,NA,0.00,NA,715.00,NA
2025-01-02 05:00:00,54.00,102.25,1.30,15.25,9.18,1.72,8.60,0.56,20.02,0.82,1.85,NA,NA,NA,NA,15.78,61.75,0.40,185.50,NA,0.00,NA,715.50,NA
2025-01-02 06:00:00,46.50,108.50,0.98,16.48,9.60,1.67,9.10,0.66,21.01,0.90,1.95,NA,NA,NA,NA,15.35,60.75,0.32,170.00,NA,0.00,NA,716.50,NA
2025-01-02 07:00:00,54.00,127.75,0.75,16.18,9.20,1.88,9.28,0.70,19.85,0.90,2.00,NA,NA,NA,NA,15.35,60.50,0.58,138.00,NA,0.00,NA,717.25,NA
2025-01-02 08:00:00,61.00,131.00,1.12,15.08,8.92,1.92,8.68,0.62,21.24,0.85,1.85,NA,NA,NA,NA,16.48,61.00,1.23,97.50,NA,0.00,NA,718.00,NA
2025-01-02 09:00:00,52.75,119.50,1.40,14.62,8.93,1.85,8.58,0.58,22.08,0.85,1.85,NA,NA,NA,NA,19.23,57.00,1.20,115.25,NA,0.00,NA,718.00,NA
2025-01-02 10:00:00,44.25,136.00,1.23,14.28,8.57,1.95,8.25,0.58,21.36,0.80,1.78,NA,NA,NA,NA,21.75,53.50,1.68,101.75,NA,0.00,NA,718.00,NA
